Id,sasa,eig_wt_final_sym,modularity_class
587,5.626004,0.000189,0
1071,6.134572,0.000189,0
702,6.153946,0.000185,3
1038,5.889556,0.000184,1
254,6.011323,0.000183,1
10,5.278022,0.000183,0
1147,5.875575,0.000182,4
23,5.506441,0.000181,4
368,6.292345,0.00018,1
824,6.01478,0.000176,3
272,6.03634,0.000175,3
634,6.201268,0.000175,1
733,6.048442,0.000174,4
300,5.964395,0.000174,1
1165,5.928836,0.000173,0
882,5.945531,0.000171,2
888,6.003468,0.000168,1
191,6.218922,0.000164,4
778,5.538514,0.000163,1
846,5.545854,0.000161,4
614,5.67835,0.000159,0
251,6.034493,0.000159,0
820,5.849992,0.000159,0
32,6.085503,0.000156,0
726,6.151206,0.000156,0
790,6.188433,0.000156,4
1075,5.406338,0.000152,0
119,6.167705,0.00015,3
401,6.254254,0.000146,4
508,6.064411,0.000145,1
758,4.99097,0.000143,0
975,5.58231,0.000142,0
907,6.412397,0.000141,0
611,5.848357,0.000141,3
572,6.139105,0.000138,1
364,5.715675,0.000137,2
777,6.005994,0.000136,3
483,6.038992,0.000134,4
333,5.391287,0.000133,2
806,6.008414,0.000132,1
434,6.183147,0.000128,3
852,5.842348,0.000127,1
58,6.21303,0.000127,3
681,5.982967,0.000126,0
621,5.910019,0.000126,3
603,6.198674,0.000124,0
79,5.043479,0.000123,0
1108,5.783232,0.000122,2
9,6.408598,0.000122,0
833,5.993473,0.00012,0
223,5.505653,0.000118,0
708,6.264859,0.000117,0
215,5.546345,0.000116,0
165,6.064143,0.000116,3
871,6.332494,0.000115,3
474,6.172654,0.000113,3
158,6.201417,0.000113,1
916,6.397674,0.000112,3
748,5.696057,0.000112,4
1100,6.065018,0.000111,1
540,5.419122,0.00011,0
164,5.983216,0.00011,3
1136,6.221168,0.00011,1
51,6.199418,0.000109,1
1027,5.603034,0.000109,0
523,5.870044,0.000109,4
682,4.952288,0.000108,0
648,5.972312,0.000108,1
693,5.822073,0.000106,0
439,6.138158,0.000106,0
963,5.367186,0.000105,0
1115,6.549919,0.000103,3
1151,6.024209,0.000102,4
943,5.882721,0.000101,4
1192,5.478232,0.0001,2
1024,6.434883,0.000098,3
902,5.636897,0.000098,4
287,6.19493,0.000097,3
530,5.960906,0.000096,1
154,6.559356,0.000095,3
5,5.701601,0.000093,2
314,5.470131,0.000093,0
518,5.768224,0.000093,0
1055,6.125391,0.000092,3
951,6.354606,0.000089,0
355,5.910945,0.000089,1
146,6.227858,0.000089,3
525,5.228561,0.000088,5
68,6.172488,0.000087,3
400,6.217154,0.000086,1
662,5.5809,0.000086,5
498,6.270444,0.000085,1
484,6.273883,0.000084,4
18,5.907181,0.000083,3
535,5.812749,0.000083,0
1138,5.226347,0.000083,0
859,6.035517,0.000083,3
501,6.326584,0.000082,3
1058,6.113396,0.000079,3
721,5.897874,0.000079,3
624,6.143989,0.000079,3
1094,6.032325,0.000079,3
133,6.25211,0.000079,3
872,5.507768,0.000078,1
362,5.794165,0.000076,2
941,6.417269,0.000072,0
679,5.599255,0.000071,0
42,6.050964,0.00007,3
21,5.976567,0.00007,4
801,5.92252,0.000069,3
237,6.153481,0.000068,1
526,5.796338,0.000067,3
1134,6.040744,0.000067,4
469,5.925756,0.000065,4
800,5.175382,0.000065,0
779,5.978063,0.000064,0
1041,6.264223,0.000064,4
14,5.89576,0.000064,3
755,5.153941,0.000064,0
743,6.187734,0.000063,3
752,5.910323,0.000062,3
1126,6.068181,0.000062,0
1029,6.324556,0.000061,0
697,6.384336,0.000059,1
65,6.265731,0.000059,0
625,5.764799,0.000059,0
305,6.452,0.000058,0
342,5.784276,0.000058,3
275,5.159412,0.000058,1
857,6.282376,0.000057,4
224,6.029628,0.000057,0
950,6.18631,0.000057,3
1184,5.058962,0.000056,0
1050,6.186135,0.000056,3
542,6.189071,0.000055,0
807,5.878554,0.000055,4
445,6.234172,0.000055,4
1142,6.271579,0.000055,0
432,6.342695,0.000054,4
75,5.901321,0.000054,0
361,5.998007,0.000054,3
1103,5.82202,0.000053,0
428,5.032899,0.000052,1
229,6.533099,0.000052,3
208,6.480749,0.000051,3
1021,6.393745,0.000049,4
236,6.137677,0.000049,3
201,6.131976,0.000049,1
598,6.064867,0.000048,3
163,6.090144,0.000047,3
1144,6.278293,0.000046,1
369,6.383487,0.000046,3
1014,6.022421,0.000045,3
205,6.284183,0.000045,3
436,6.170972,0.000044,3
701,6.196297,0.000044,1
585,6.05852,0.000043,1
901,5.418142,0.000042,1
699,6.147722,0.000042,3
358,5.837183,0.000041,4
822,6.239734,0.00004,3
1096,5.812025,0.000039,4
623,6.304485,0.000039,3
830,6.785387,0.000038,3
1155,5.968496,0.000038,3
319,6.371497,0.000038,3
1160,6.448747,0.000037,1
584,6.274186,0.000037,3
410,6.32052,0.000037,0
411,5.682697,0.000037,3
849,5.505937,0.000036,0
424,6.133072,0.000035,3
71,6.25628,0.000034,3
971,6.033268,0.000034,4
338,5.940217,0.000034,3
959,6.458252,0.000034,0
988,6.387375,0.000034,3
967,6.382948,0.000034,0
152,6.276027,0.000033,3
170,6.590614,0.000033,5
1110,6.16476,0.000032,4
615,6.269147,0.000032,3
1158,6.156,0.000032,4
258,5.912724,0.000032,3
922,6.681261,0.000032,3
397,5.853689,0.000032,4
211,6.390734,0.000032,0
866,5.935322,0.000031,3
301,5.108442,0.00003,0
724,4.998153,0.00003,4
1089,6.496135,0.00003,4
276,6.64897,0.00003,5
666,6.082867,0.00003,3
181,6.263661,0.000029,3
680,5.884963,0.000029,1
549,6.329654,0.000029,0
419,6.443265,0.000028,3
580,5.671044,0.000028,0
321,5.541984,0.000028,1
705,6.502458,0.000028,3
1157,6.638518,0.000028,3
409,5.999851,0.000027,0
895,6.270616,0.000027,0
689,6.487291,0.000027,3
126,6.130072,0.000027,5
712,6.13373,0.000027,3
403,6.51287,0.000027,0
601,5.730807,0.000027,0
476,5.977008,0.000026,3
166,6.075814,0.000026,0
1112,5.680451,0.000026,0
233,5.783543,0.000025,0
171,6.100968,0.000024,3
382,6.335188,0.000023,3
402,6.325247,0.000023,3
517,6.381759,0.000023,0
1131,6.219293,0.000022,3
28,6.455274,0.000022,3
979,6.46288,0.000022,5
874,6.11397,0.000021,3
83,6.292197,0.000021,4
1072,6.627084,0.000021,3
893,6.061207,0.00002,3
1017,6.266548,0.00002,3
884,6.362397,0.00002,3
952,6.26809,0.00002,3
519,6.186827,0.000019,1
1191,6.651099,0.000019,5
86,5.261762,0.000019,5
744,6.063156,0.000019,4
793,6.061558,0.000018,3
850,6.423001,0.000018,3
834,6.117197,0.000018,3
137,6.204043,0.000018,3
111,6.485068,0.000018,3
1174,5.793453,0.000018,4
917,6.136523,0.000018,4
343,5.983985,0.000018,3
792,6.154587,0.000018,3
641,6.243381,0.000017,1
495,5.942246,0.000017,1
991,6.096134,0.000017,3
718,6.668737,0.000017,3
643,6.168203,0.000017,3
345,6.070365,0.000017,3
45,6.14445,0.000017,4
760,6.232351,0.000017,4
810,6.506976,0.000016,5
103,6.532463,0.000016,3
1141,6.275667,0.000016,3
886,6.059625,0.000016,3
1025,6.523923,0.000016,3
1074,5.913508,0.000016,3
153,6.402252,0.000016,3
1013,6.312677,0.000015,1
372,5.664571,0.000015,2
645,5.666356,0.000015,1
997,6.507638,0.000015,3
326,6.219087,0.000015,3
289,6.599761,0.000015,5
757,6.206032,0.000015,4
908,6.379838,0.000015,3
944,6.135574,0.000014,3
1111,6.028592,0.000014,5
1199,5.881192,0.000014,1
668,6.255454,0.000013,3
1161,6.760287,0.000013,5
96,6.470146,0.000013,3
856,6.274261,0.000013,3
325,6.770436,0.000013,5
132,6.146278,0.000013,3
1181,6.093005,0.000012,3
564,5.955663,0.000012,3
466,6.787431,0.000012,3
881,6.316815,0.000012,3
858,6.501517,0.000012,3
147,5.584124,0.000012,0
560,6.492327,0.000012,1
590,6.404058,0.000011,5
769,6.053553,0.000011,5
889,5.932281,0.000011,3
178,6.57056,0.000011,5
313,6.105438,0.000011,3
1065,5.935294,0.000011,3
1171,6.297519,0.000011,3
918,6.101213,0.000011,3
339,6.106315,0.000011,3
1051,6.461985,0.00001,3
925,6.530366,0.00001,5
199,6.327296,0.00001,3
311,6.183844,0.00001,3
78,6.433766,0.00001,5
949,6.279973,0.00001,5
937,6.309355,0.00001,3
131,6.77092,0.000009,5
384,6.283931,0.000009,3
1163,6.228165,0.000009,3
761,6.185716,0.000009,3
770,6.030686,0.000009,4
1197,5.84102,0.000009,4
883,6.21773,0.000009,0
1130,6.365652,0.000009,5
660,6.243951,0.000009,3
122,6.3562,0.000009,4
939,6.538099,0.000008,3
52,6.046826,0.000008,3
70,6.39743,0.000008,3
1011,6.266077,0.000008,3
1016,6.510447,0.000008,5
66,6.259274,0.000008,5
196,6.428244,0.000008,5
528,6.354442,0.000008,4
263,6.284619,0.000008,3
185,5.80724,0.000008,3
990,6.37727,0.000008,3
700,6.245496,0.000008,4
414,6.596717,0.000008,3
1122,6.330446,0.000008,4
503,6.453177,0.000007,3
250,6.111773,0.000007,0
838,6.227332,0.000007,3
415,6.098688,0.000007,3
574,6.14917,0.000007,3
298,6.102691,0.000007,3
315,6.744478,0.000007,3
226,6.733989,0.000007,3
1082,6.179778,0.000007,3
202,6.696555,0.000007,3
1046,5.882348,0.000007,3
172,6.609577,0.000007,3
43,6.573832,0.000006,3
1120,6.017188,0.000006,3
1067,5.793088,0.000006,1
244,6.251866,0.000006,1
1123,6.663618,0.000006,5
905,6.604504,0.000006,3
